firstname;lastname;username;department;password;ou;;;;;;;;
Batman;;Batman;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Alfred;Pennyworth;Alfred.Pennyworth;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Robin;;Robin;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Dick;Grayson;Dick.Grayson;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Batgirl;;Batgirl;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
RedRobin;;RedRobin;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Nigthwing;;Nigthwing;Blüdhaven;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Jason;Todd;Jason.Todd;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Damian;Wayne;Damian.Wayne;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Tim;Drake;Tim.Drake;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Barbara;Gordon;Barbara.Gordon;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Catwoman;;Catwoman;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Ace;LeBatChien;Ace.LeBatChien;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
RedHood;;RedHood;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Batwoman;;Batwoman;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Terry;McGinnis;Terry.McGinnis;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Joker;;Joker;Arkham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Kathy;Kane;Kathy.Kane;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Superman;;Superman;Metropolis;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
GreenArrow;;GreenArrow;Star City;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Harley;Quinn;Harley.Quinn;Arkham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Aquaman;;Aquaman;Atlantis;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Selina;Kyle;Selina.Kyle;Gotham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Poison;Ivy;Poison.Ivy;Arkham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Pingouin;;Pingouin;Arkham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Double;Face;Double.Face;Arkham;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Titans;;Titans;Jump City;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
Teen;Titans;Teen.Titans;Jump City;Demowvd2022!;OU=WVD-Users,DC=demoad,DC=com;;;;;;;;
